timestamp,A1,B2,C3,D4,E5
1,0.776298144,0.894076035,0.792032098,0.834164661,0.647536531
2,0.753215933,0.855654559,0.909738472,0.434912776,0.131094407
3,0.905092257,0.447946986,0.636965088,0.279674619,0.268030911
4,0.215087992,0.701188896,0.346171028,0.724010567,0.650112004
5,0.93307409,0.383272464,0.321532442,0.525007408,0.9371513
6,0.320315404,0.069531524,0.190065174,0.564608735,0.972608352
7,0.397699882,0.353318661,0.349351423,0.907064776,0.795086709
8,0.568297144,0.788087724,0.564254382,0.949874043,0.813089559
9,0.528034958,0.192873943,0.960830061,0.418526451,0.330447554
10,0.280526299,0.522347572,0.755862523,0.3268317,0.293496058
